Certificate Number,Certificate Holder,Scope,Certificate Type
01 400 1610377,Aachener Papierverwertung u.Containerdienst Horsch GmbH & Co.KGWeißwasserstr. 2752068 AachenGermany,"collection and transportation of all types of waste, storage and treatment of waste as stated in annex of certificate as well as trading and dealing of all types of waste within the European Community Sammeln und Befördern aller Abfälle, Lagern und Behandeln von Abfällen gemäß Anlagen zum Zertifikat sowie Handeln und Makeln aller Abfälle innerhalb der EU. Annerkannter Fachbetrieb der Akten- und Datenträgervernichtung gemäß Qualitätsstandard der bvse- ESG e.V. unter Berücksichtigung der DIN 66399-1 und der DIN SPEC 66399-3 (Schutzklasse 2, Sicherheitsstufe P4) und dem BDSG",EfbV
01 400 1610377,Aachener Papierverwertung u.Containerdienst Horsch GmbH & Co.KGWeißwasserstr. 2752068 AachenGermany,"collection and transportation of all types of waste, storage and treatment of waste as stated in annex of certificate as well as trading and dealing of all types of waste within the European Community Sammeln und Befördern aller Abfälle, Lagern und Behandeln von Abfällen gemäß Anlagen zum Zertifikat sowie Handeln und Makeln aller Abfälle innerhalb der EU. Annerkannter Fachbetrieb der Akten- und Datenträgervernichtung gemäß Qualitätsstandard der bvse- ESG e.V. unter Berücksichtigung der DIN 66399-1 und der DIN SPEC 66399-3 (Schutzklasse 2, Sicherheitsstufe P4) und dem BDSG",EfbV
